                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.017,                 2.9805,                 1.3146,                 0.4023,                0.57996,                0.43862,                0.32225,                0.95852,                   2.99,                 1.2757,              0.0033248,              0.0033248,              0.0033248
                      2,                0.99793,                 2.3446,                 1.2886,                0.45088,                0.67085,                0.55125,                0.41765,                0.94699,                 2.4859,                 1.2329,              0.0066568,              0.0066568,              0.0066568
                      3,                 1.0389,                 2.1163,                 1.3128,                0.67146,                0.57249,                0.64029,                0.46726,                0.99188,                 2.3102,                 1.3338,              0.0099875,              0.0099875,              0.0099875
                      4,                 1.0764,                 2.0267,                 1.3394,                0.70074,                0.75812,                0.75636,                0.49949,                 1.0628,                 2.3706,                 1.3886,              0.0099941,              0.0099941,              0.0099941
                      5,                 1.0723,                 1.6817,                 1.3192,                0.67556,                0.74366,                0.78456,                0.56659,                 1.0202,                 1.9205,                 1.3572,              0.0099921,              0.0099921,              0.0099921
                      6,                  1.067,                 1.5844,                  1.303,                 0.7746,                0.74813,                0.83344,                0.57561,                0.97383,                 1.4025,                 1.2838,              0.0099901,              0.0099901,              0.0099901
                      7,                 1.0513,                 1.5207,                 1.2912,                0.77059,                0.77579,                0.83764,                0.61549,                 0.9271,                 1.3238,                 1.2159,              0.0099881,              0.0099881,              0.0099881
                      8,                  1.031,                 1.4003,                 1.2721,                0.71508,                0.81397,                0.80041,                0.58686,                0.91152,                 1.2846,                 1.1928,              0.0099861,              0.0099861,              0.0099861
                      9,                0.98995,                 1.2637,                  1.238,                0.81658,                0.85832,                0.89152,                0.65815,                  0.891,                 1.0637,                 1.1907,              0.0099842,              0.0099842,              0.0099842
                     10,                0.94834,                 1.1771,                 1.2163,                0.85958,                0.78792,                0.87837,                0.67984,                 0.8588,                0.97223,                 1.1495,              0.0099822,              0.0099822,              0.0099822
                     11,                0.98791,                  1.179,                 1.2265,                0.83161,                0.87669,                 0.8961,                0.67658,                0.88751,                 0.8896,                 1.1922,              0.0099802,              0.0099802,              0.0099802
